# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 104
1 1 CAMERA 1
2 1 CAMERA 2
3 1 CAMERA 3
4 1 CAMERA 4
5 1 CAMERA 5
6 1 CAMERA 6
7 1 CAMERA 7
8 1 CAMERA 8
9 1 CAMERA 9
10 1 CAMERA 10
11 1 CAMERA 11
12 1 CAMERA 12
13 1 CAMERA 13
14 1 CAMERA 14
15 1 CAMERA 15
16 1 CAMERA 16
17 1 CAMERA 17
18 1 CAMERA 18
19 1 CAMERA 19
20 1 CAMERA 20
21 1 CAMERA 21
22 1 CAMERA 22
23 1 CAMERA 23
24 1 CAMERA 24
25 1 CAMERA 25
26 1 CAMERA 26
27 1 CAMERA 27
28 1 CAMERA 28
29 1 CAMERA 29
30 1 CAMERA 30
31 1 CAMERA 31
32 1 CAMERA 32
33 1 CAMERA 33
34 1 CAMERA 34
35 1 CAMERA 35
36 1 CAMERA 36
37 1 CAMERA 37
38 1 CAMERA 38
39 1 CAMERA 39
40 1 CAMERA 40
41 1 CAMERA 41
42 1 CAMERA 42
43 1 CAMERA 43
44 1 CAMERA 44
45 1 CAMERA 45
46 1 CAMERA 46
47 1 CAMERA 47
48 1 CAMERA 48
49 1 CAMERA 49
50 1 CAMERA 50
51 1 CAMERA 51
52 1 CAMERA 52
53 1 CAMERA 53
54 1 CAMERA 54
55 1 CAMERA 55
56 1 CAMERA 56
57 1 CAMERA 57
58 1 CAMERA 58
59 1 CAMERA 59
60 1 CAMERA 60
61 1 CAMERA 61
62 1 CAMERA 62
63 1 CAMERA 63
64 1 CAMERA 64
65 1 CAMERA 65
66 1 CAMERA 66
67 1 CAMERA 67
68 1 CAMERA 68
69 1 CAMERA 69
70 1 CAMERA 70
71 1 CAMERA 71
72 1 CAMERA 72
73 1 CAMERA 73
74 1 CAMERA 74
75 1 CAMERA 75
76 1 CAMERA 76
77 1 CAMERA 77
78 1 CAMERA 78
79 1 CAMERA 79
80 1 CAMERA 80
81 1 CAMERA 81
82 1 CAMERA 82
83 1 CAMERA 83
84 1 CAMERA 84
85 1 CAMERA 85
86 1 CAMERA 86
87 1 CAMERA 87
88 1 CAMERA 88
89 1 CAMERA 89
90 1 CAMERA 90
91 1 CAMERA 91
92 1 CAMERA 92
93 1 CAMERA 93
94 1 CAMERA 94
95 1 CAMERA 95
96 1 CAMERA 96
97 1 CAMERA 97
98 1 CAMERA 98
99 1 CAMERA 99
100 1 CAMERA 100
101 1 CAMERA 101
102 1 CAMERA 102
103 1 CAMERA 103
104 1 CAMERA 104
